,City,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(mph),Latitude,Longitude
450,souillac,300.15,78.0,40.0,6.69,-20.5167,57.5167
451,springfield,278.19,87.0,90.0,5.14,37.2153,-93.2982
452,ojinaga,285.14,26.0,1.0,3.6,29.5667,-104.4167
453,fenyi,289.98,87.0,98.0,1.94,27.8112,114.6681
454,griffith,274.89,64.0,1.0,7.2,41.5284,-87.4237
455,asbe teferi,296.73,44.0,68.0,0.85,9.0833,40.8667
456,nikolayevka,270.43,93.0,100.0,5.23,53.1257,47.2041
457,agadez,301.41,15.0,0.0,3.69,19.75,10.25
458,barcelos,280.37,75.0,0.0,2.06,41.5388,-8.6151
459,sambava,301.97,66.0,100.0,4.52,-14.2667,50.1667
460,general roca,285.15,82.0,0.0,1.03,-39.0333,-67.5833
461,cheyenne,271.28,74.0,1.0,5.66,41.14,-104.8203
462,jalu,292.01,26.0,100.0,6.93,29.0331,21.5482
463,half moon bay,283.72,93.0,90.0,3.09,37.4636,-122.4286
464,pandan,302.34,69.0,41.0,4.45,14.0453,124.1694
465,monrovia,296.15,94.0,40.0,2.06,6.3005,-10.7969
466,pangnirtung,245.52,73.0,0.0,1.28,66.1451,-65.7125
467,rocha,284.13,83.0,0.0,0.88,-34.4833,-54.3333
468,mbandaka,297.36,88.0,72.0,1.29,0.0487,18.2603
469,egvekinot,246.75,74.0,0.0,2.38,66.3167,-179.1667
470,the valley,297.59,73.0,75.0,5.14,18.217,-63.0578
471,gohad,307.65,21.0,100.0,1.84,26.4261,78.4447
473,lima,294.42,83.0,0.0,2.57,-12.0432,-77.0282
474,manavgat,286.15,47.0,0.0,3.09,36.7867,31.4431
475,coihaique,279.25,97.0,62.0,3.06,-45.5752,-72.0662
477,loa janan,304.35,65.0,100.0,1.07,-0.583,117.095
478,gamba,298.0,88.0,100.0,1.75,-2.65,10.0
479,palmerston,303.53,70.0,40.0,5.66,-12.486,130.9833
480,kirknewton,276.17,100.0,0.0,0.51,55.8875,-3.419
482,beidao,283.18,42.0,91.0,8.1,34.5686,105.8933
483,maroantsetra,301.17,73.0,45.0,1.74,-15.4333,49.7333
484,waitati,287.04,73.0,17.0,0.45,-45.75,170.5667
485,eyl,301.42,62.0,93.0,5.72,7.9803,49.8164
486,port-gentil,299.15,94.0,75.0,1.54,-0.7193,8.7815
487,rock sound,296.48,80.0,0.0,5.97,24.9,-76.2
488,portland,279.71,81.0,75.0,3.6,45.5234,-122.6762
489,codrington,293.8,71.0,0.0,6.71,-38.2667,141.9667
490,port alberni,278.5,95.0,100.0,1.91,49.2413,-124.8028
491,canico,289.2,67.0,20.0,3.09,32.6333,-16.85
492,opuwo,294.24,64.0,96.0,2.7,-18.0607,13.84
493,oskarshamn,269.26,86.0,93.0,2.68,57.2645,16.4484
494,xunchang,294.34,64.0,100.0,3.69,28.4543,104.715
495,elliot lake,268.15,63.0,1.0,2.57,46.3834,-82.6331
496,saint-augustin,269.74,91.0,71.0,7.0,51.226,-58.6502
497,trairi,296.65,93.0,96.0,2.3,-3.2778,-39.2689
498,sungairaya,301.75,74.0,95.0,2.87,0.7,108.9
499,saint-louis,294.15,43.0,0.0,3.13,16.3333,-15.0
500,novaya mayna,270.15,93.0,90.0,6.0,54.15,49.75
501,berlevag,265.03,86.0,100.0,16.98,70.8578,29.0864
502,wakkanai,274.15,64.0,75.0,7.72,45.4094,141.6739
503,mareeba,300.31,70.0,90.0,1.54,-17.0,145.4333
504,arlit,301.2,13.0,0.0,0.97,18.7369,7.3853
505,kakrala,308.94,12.0,96.0,3.77,27.9,79.2
506,jiuquan,277.96,25.0,100.0,4.88,39.7432,98.5174
507,skibbereen,281.15,87.0,75.0,6.17,51.55,-9.2667
508,thoen,313.15,29.0,56.0,1.44,17.6129,99.2161
509,namatanai,301.99,67.0,79.0,3.6,-3.6667,152.4333
510,yamada,279.79,60.0,21.0,1.84,39.4667,141.95
512,fortuna,280.98,93.0,90.0,2.57,40.5982,-124.1573
513,concepcion del uruguay,288.05,77.0,100.0,0.89,-32.4825,-58.2372
515,newport,282.04,84.0,100.0,5.92,51.5877,-2.9984
